Year,Rate,Unit
2024,2.4,1.0
2023,3.4,1.024
2022,6.5,1.059
2021,7.0,1.128
2020,1.4,1.207
2019,2.3,1.224
2018,1.9,1.252
2017,2.1,1.276
2016,2.1,1.303
2015,0.7,1.33
2014,0.8,1.339
2013,1.5,1.35
2012,1.7,1.37
2011,3.0,1.393
2010,1.5,1.435
2009,2.7,1.457
2008,0.1,1.496
2007,4.1,1.497
2006,2.5,1.558
2005,3.4,1.597
2004,3.3,1.651
2003,1.9,1.705
2002,2.4,1.737
2001,1.6,1.779
2000,3.4,1.807
1999,2.7,1.868
1998,1.6,1.918
1997,1.7,1.949
1996,3.3,1.982
1995,2.5,2.047
1994,2.7,2.098
1993,2.7,2.155
1992,2.9,2.213
1991,3.1,2.277
1990,6.1,2.348
1989,4.6,2.491
1988,4.4,2.606
1987,4.4,2.721
1986,1.1,2.841
1985,3.8,2.872
1984,3.9,2.981
1983,3.8,3.097
1982,3.8,3.215
1981,8.9,3.337
1980,12.5,3.634
1979,13.3,4.088
1978,9.0,4.632
1977,6.7,5.049
1976,4.9,5.387
1975,6.9,5.651
1974,12.3,6.041
1973,8.7,6.784
1972,3.4,7.374
1971,3.3,7.625
1970,5.6,7.877
1969,6.2,8.318
1968,4.7,8.834
1967,3.0,9.249
1966,3.5,9.526
1965,1.9,9.859
1964,1.0,10.046
1963,1.6,10.146
1962,1.3,10.308
1961,0.7,10.442
1960,1.4,10.515
1959,1.7,10.662
1958,1.8,10.843
1957,2.9,11.038
1956,3.0,11.358
1955,0.4,11.699
1954,-0.7,11.746
1953,0.7,11.664
1952,0.8,11.746
1951,6.0,11.84
1950,5.9,12.55
1949,-2.1,13.29
1948,3.0,13.011
1947,8.8,13.401
1946,18.1,14.58
1945,2.2,17.219
1944,2.3,17.598
1943,3.0,18.003
1942,9.0,18.543
1941,9.9,20.212
1940,0.7,22.213
1939,0.0,22.368
1938,-2.8,22.368
1937,2.9,21.742
1936,1.4,22.373
1935,3.0,22.686
1934,1.5,23.367
1933,0.8,23.718
1932,-10.3,23.908
1931,-9.3,21.445
1930,-6.4,19.451
1929,0.6,18.206
