Title,Metascore,Userscore
L.A. Confidential,91,8.6
The Godfather,100,9.3
Casablanca,100,8.7
Parasite,97,8.9
Top Gun: Maverick,78,8.4
Toy Story 2,88,8.7
Chinatown,92,8.7
On the Waterfront,91,8.4
Toy Story,96,8.9
Modern Times,96,8.7
How to Train Your Dragon,75,8.6
Spirited Away,96,9.0
Up,88,8.7
Spotlight,93,8.1
Finding Nemo,90,8.7
Singin' in the Rain,99,8.7
Toy Story 3,92,8.8
Coco,54,7.1
Selma,79,7.3
Zootopia,78,8.6
Annie Hall,92,7.0
Inside Out,28,5.3
The Lord of the Rings: The Two Towers,87,9.2
Knives Out,82,7.7
Toy Story 4,84,7.7
The Wrestler,80,8.2
Goodfellas,92,9.0
The Wizard of Oz,92,8.4
Psycho,47,3.8
Before Sunrise,78,8.7
The Dark Knight,84,9.1
It Happened One Night,87,8.0
Alien,89,8.9
Argo,86,7.7
Get Out,85,7.4
The Kid,45,6.5
The Kid,45,6.5
The Pianist,85,8.7
The Big Sick,86,7.1
Minari,89,8.0
Apocalypse Now,94,8.7
Mad Max: Fury Road,90,8.5
A Hard Day's Night,96,8.5
Metropolis,98,8.7
Good Will Hunting,71,8.6
Aliens,84,8.9
The Silence of the Lambs,86,8.8
Eighth Grade,85,7.9
Rebecca,46,4.9
The Terminator,84,8.6
Memento,83,8.8
The Social Network,95,8.2
The Hurt Locker,95,7.4
Catch Me if You Can,75,8.3
Jaws,87,8.7
Das Boot,85,8.6
Lady Bird,93,7.6
Hunt for the Wilderpeople,81,8.1
Hell or High Water,88,8.1
Saving Private Ryan,91,8.9
Ratatouille,96,8.5
Star Trek,82,7.8
The Iron Giant,85,8.8
Brooklyn,88,7.8
The Best Years of Our Lives,93,8.2
The Bridge on the River Kwai,88,8.0
Whiplash,89,8.8
The Farewell,89,8.2
Unforgiven,85,8.3
Pulp Fiction,95,9.1
Avengers: Endgame,78,8.3
Iron Man,79,8.3
Moana,81,7.8
Little Women,87,7.6
Little Women,87,7.6
Puss in Boots: The Last Wish,73,8.8
Casino Royale,80,8.4
Casino Royale,80,8.4
Top Hat,93,7.4
The Artist,89,7.9
One Flew Over the Cuckoo's Nest,84,8.8
In the Heat of the Night,76,7.9
Raiders of the Lost Ark,86,8.9
The Peanut Butter Falcon,70,7.6
King Kong,81,7.8
King Kong,81,7.8
King Kong,81,7.8
A Beautiful Day in the Neighborhood,80,7.2
Before Sunset,91,8.7
Creed,82,8.0
John Wick: Chapter 4,78,8.1
The Princess Bride,78,8.3
Before Midnight,94,8.3
Lawrence of Arabia,100,8.5
Strangers on a Train,88,8.1
Sling Blade,85,7.9
Kubo and the Two Strings,84,8.1
Once Upon a Time in the West,82,8.7
Eternal Sunshine of the Spotless Mind,89,8.9
Sense and Sensibility,84,8.3
BlacKkKlansman,83,7.3
Lost in Translation,91,8.1
Boyhood,100,7.6
The Truman Show,90,8.7
Life of Brian,77,8.1
Marriage Story,94,8.1
The Lost Weekend,N/A,N/A
Oppenheimer,90,8.5
The Lord of the Rings: The Fellowship of the Ring,92,9.3
Room,64,tbd
The Lord of the Rings: The Return of the King,94,9.4
Halloween,47,5.3
Halloween,47,5.3
Halloween,47,5.3
The Sweet Hereafter,91,7.8
True Grit,80,7.7
A Quiet Place,82,7.4
Mudbound,85,6.8
Brazil,84,8.0
Hidden Figures,74,7.5
The Conversation,88,7.9
Fargo,88,8.5
The Apartment,94,8.6
Black Panther,88,6.3
The Sting,83,8.1
Logan,tbd,tbd
Nightcrawler,76,8.3
The Departed,85,8.7
Juno,81,7.7
Hero,85,7.9
Shaun of the Dead,76,8.2
Back to the Future,87,9.0
Die Hard,72,8.7
No Country for Old Men,92,8.5
The Lion King,88,9.0
The Lion King,88,9.0
Gravity,96,7.7
A Streetcar Named Desire,97,8.2
Breathless,52,7.9
The Manchurian Candidate,76,6.6
The French Connection,94,7.9
The Bourne Ultimatum,85,8.4
My Fair Lady,95,7.6
The Fugitive,87,8.4
Guardians of the Galaxy,76,8.5
Groundhog Day,72,8.5
Beauty and the Beast,92,7.4
Beauty and the Beast,92,7.4
The Taking of Pelham One Two Three,68,7.7
Rosemary's Baby,96,8.2
Call Me by Your Name,94,8.0
Aladdin,86,8.5
Aladdin,86,8.5
Milk,83,7.7
Traffic,86,8.0
Thor: Ragnarok,74,7.8
What's Love Got to Do With It,76,8.1
Taxi Driver,94,8.7
Arrival,81,8.1
Raging Bull,90,8.5
Fruitvale Station,85,7.8
Beauty and the Beast,92,7.4
Beauty and the Beast,92,7.4
The Shawshank Redemption,82,9.3
The Green Mile,61,8.8
Forrest Gump,82,8.9
Interstellar,74,8.7
Fight Club,67,8.9
Once Upon a Time in America,75,8.3
Inception,74,8.8
American History X,62,8.4
Dead Poets Society,79,8.4
Five Feet Apart,53,7.8
Oldboy,78,8.6
Green Book,69,8.0
Klaus,65,8.8
Mommy,74,8.4
Wolfwalkers,87,8.6
Inglourious Basterds,69,8.3
The Matrix,73,8.9
Gladiator,67,8.7
The Help,62,7.9
The Art of Racing in the Rain,43,7.2
Hacksaw Ridge,71,8.3
Django Unchained,81,8.6
Scarface,65,8.7
Joker,59,9.0
Palmer,53,7.1
Wonder,66,7.6
