Movie Title,Identifier,metascore,userscore
Turning Red,turning-red-2022,83,6.2
Star Wars: The Rise of Skywalker,star-wars-episode-ix---the-rise-of-skywalker,53,4.5
SpiderMan,spider-man,73,8.3
Lightyear,light-year-2022,N/A,N/A
Prince of Persia: Sands of Time,prince-of-persia-the-sands-of-time,50,6.8
Cowboys and Aliens,cowboys-aliens,50,5.9
Teenage Mutant Ninja Turtles: Out of the Shadows,teenage-mutant-ninja-turtles-2,40,5.7
AntMan,ant-man,64,7.8
Harry Potter and the Deathly Hallows: Part II,harry-potter-and-the-deathly-hallows-part-2,85,8.3
XMen,X-Men,64,7.3
Shazam Fury of the Gods,shazam!-fury-of-the-gods,47,5.2
Mr. and Mrs. Smith,mr-mrs-smith,55,6.6
Epic,epic-2013,52,6.3
The Campaign,the-campaign-2012,50,6.0
BenHur,ben-hur-1959,90,8.7
Horton Hears a Who,horton-hears-a-who!,71,6.6
I Now Pronounce You Chuck and Larry,i-now-pronounce-you-chuck-larry,37,5.4
Mars Attacks,mars-attacks!,52,6.3
Mamma Mia: Here We Go Again,mamma-mia!-here-we-go-again,60,6.7
PLAYMOBIL,playmobil-the-movie,25,3.3
Zathura,zathura-a-space-adventure,67,6.4
Mei Ren Yu,the-mermaid,69,7.0
Devils Advocate,the-devils-advocate,60,7.4
R.V.,runaway-vacation,33,5.1
The Pirates Band of Misfits,the-pirates!-band-of-misfits,73,7.0
Aeon Flux,aon-flux,36,4.7
Moulin Rouge,moulin-rouge!,66,7.7
Mamma Mia,mamma-mia!,51,6.5
The BreakUp,the-break-up,46,5.6
Garfield: The Movie,the-garfield-movie,31,4.9
Planes: Fire and Rescue,planes-fire-rescue,48,5.9
Drive Angry,drive-angry-3d,44,5.3
KPAX,k-pax,49,7.3
Kate and Leopold,kate-leopold,44,5.9
MonsterinLaw,monster-in-law,31,6.8
Danny the Dog,unleashed,58,6.9
John Wick: Chapter Two,john-wick-chapter-2,75,8.0
Mouse Hunt,mousehunt,53,7.2
Nanny McPhee and the Big Bang,nanny-mcphee-returns,52,5.4
Mike and Dave Need Wedding Dates,mike-and-dave-need-wedding-dates-2016,51,5.8
Rugrats in Paris,rugrats-in-paris-the-movie---rugrats-ii,62,6.0
Wing Commander,wing-commander-space-will-never-be-the-same,21,5.3
Caf Society,caf-society,N/A,N/A
Hoodwinked Too: Hood vs. Evil,hoodwinked-too!-hood-vs-evil,20,5.1
John Carpenters Ghosts of Mars,ghosts-of-mars,35,5.1
Ever After: A Cinderella Story,ever-after,66,7.4
Mr. Beans Holiday,mr-beans-vacation,56,6.7
Tora Tora Tora,tora!-tora!-tora!,46,8.5
PunchDrunk Love,punch-drunk-love,78,8.1
Sheena,sheena-queen-of-the-jungle,39,6.3
Bad Lieutenant: Port of Call New Orleans,the-bad-lieutenant-port-of-call---new-orleans,69,7.1
Les petits mouchoirs,little-white-lies,50,6.6
Hello Dolly,hello-dolly!,51,6.9
